TOP.69e872c0.000e19ed	START
TOP.69e872c0.000e19ed	user_options->markov_classic	0
TOP.69e872c0.000e19ed	user_options->markov	1
TOP.69e872c0.000e19ed	user_options->markov_inverse	0
TOP.69e872c0.000e19ed	user_options->markov_threshold	256
TOP.69e872c0.000e19ed	user_options->metal_compiler_runtime	120
TOP.69e872c0.000e19ed	user_options->multiply_accel	1
TOP.69e872c0.000e19ed	user_options->backend_info	0
TOP.69e872c0.000e19ed	user_options->backend_vector_width	0
TOP.69e872c0.000e19ed	user_options->optimized_kernel	0
TOP.69e872c0.000e19ed	user_options->outfile_autohex	1
TOP.69e872c0.000e19ed	user_options->outfile_check_timer	5
TOP.69e872c0.000e19ed	user_options->outfile_format	3
TOP.69e872c0.000e19ed	user_options->outfile_json	0
TOP.69e872c0.000e19ed	user_options->wordlist_autohex	1
TOP.69e872c0.000e19ed	user_options->potfile	1
TOP.69e872c0.000e19ed	user_options->progress_only	0
TOP.69e872c0.000e19ed	user_options->quiet	0
TOP.69e872c0.000e19ed	user_options->remove	0
TOP.69e872c0.000e19ed	user_options->remove_timer	60
TOP.69e872c0.000e19ed	user_options->restore	0
TOP.69e872c0.000e19ed	user_options->restore_enable	1
TOP.69e872c0.000e19ed	user_options->restore_timer	1
TOP.69e872c0.000e19ed	user_options->rp_files_cnt	0
TOP.69e872c0.000e19ed	user_options->rp_gen	0
TOP.69e872c0.000e19ed	user_options->rp_gen_func_max	4
TOP.69e872c0.000e19ed	user_options->rp_gen_func_min	1
TOP.69e872c0.000e19ed	user_options->rp_gen_seed	0
TOP.69e872c0.000e19ed	user_options->runtime	0
TOP.69e872c0.000e19ed	user_options->scrypt_tmto	0
TOP.69e872c0.000e19ed	user_options->segment_size	33554432
TOP.69e872c0.000e19ed	user_options->self_test	1
TOP.69e872c0.000e19ed	user_options->slow_candidates	0
TOP.69e872c0.000e19ed	user_options->show	0
TOP.69e872c0.000e19ed	user_options->speed_only	0
TOP.69e872c0.000e19ed	user_options->spin_damp	0
TOP.69e872c0.000e19ed	user_options->status	1
TOP.69e872c0.000e19ed	user_options->status_json	0
TOP.69e872c0.000e19ed	user_options->status_timer	2
TOP.69e872c0.000e19ed	user_options->stdout_flag	0
TOP.69e872c0.000e19ed	user_options->usage	0
TOP.69e872c0.000e19ed	user_options->username	0
TOP.69e872c0.000e19ed	user_options->veracrypt_pim_start	485
TOP.69e872c0.000e19ed	user_options->veracrypt_pim_stop	485
TOP.69e872c0.000e19ed	user_options->version	0
TOP.69e872c0.000e19ed	user_options->workload_profile	2
TOP.69e872c0.000e19ed	user_options->brain_client	0
TOP.69e872c0.000e19ed	user_options->brain_client_features	2
TOP.69e872c0.000e19ed	user_options->brain_server	0
TOP.69e872c0.000e19ed	user_options->brain_server_timer	300
TOP.69e872c0.000e19ed	user_options->brain_port	6863
TOP.69e872c0.000e19ed	user_options->brain_session	0
TOP.69e872c0.000e19ed	hashes->hashfile	C:\Users\Student\Desktop\hashcatui\uploads\hashes\pasted_b3542443.txt
TOP.69e872c0.000e19ed	hashes->hashlist_mode	5
TOP.69e872c0.000e19ed	hashes->hashlist_format	0
TOP.69e872c0.000e19ed	hashes->hashes_cnt	0
TOP.69e872c0.000e19ed	hashes->digests_cnt	1
TOP.69e872c0.000e19ed	hashes->digests_done_pot	0
TOP.69e872c0.000e19ed	hashes->digests_done_zero	0
TOP.69e872c0.000e19ed	hashes->digests_done	0
TOP.69e872c0.000e19ed	hashes->salts_cnt	1
TOP.69e872c0.000e19ed	hashes->salts_done	0
TOP.69e872c0.000e19ed	SUB.69e872c1.000011af	START
TOP.69e872c0.000e19ed	SUB.69e872c1.000011af	straight_ctx->dict	C:\Users\Student\Desktop\hashcatui\uploads\wordlists\rockyou.txt
TOP.69e872c0.000e19ed	SUB.69e872c1.000011af	runtime_start	1776841409
TOP.69e872c0.000e19ed	SUB.69e872c1.000011af	runtime_stop	1776841410
TOP.69e872c0.000e19ed	SUB.69e872c1.000011af	hashes->digests_done_new	1
TOP.69e872c0.000e19ed	SUB.69e872c1.000011af	status-after-work	6
TOP.69e872c0.000e19ed	SUB.69e872c1.000011af	STOP
TOP.69e872c0.000e19ed	proc_start	1776841408
TOP.69e872c0.000e19ed	proc_stop	1776841411
TOP.69e872c0.000e19ed	STOP
