TOP.69e9b094.000d761e	START
TOP.69e9b094.000d761e	user_options->keep_guessing	0
TOP.69e9b094.000d761e	user_options->kernel_accel	0
TOP.69e9b094.000d761e	user_options->kernel_loops	0
TOP.69e9b094.000d761e	user_options->kernel_threads	0
TOP.69e9b094.000d761e	user_options->keyspace	0
TOP.69e9b094.000d761e	user_options->total_candidates	0
TOP.69e9b094.000d761e	user_options->left	0
TOP.69e9b094.000d761e	user_options->logfile	1
TOP.69e9b094.000d761e	user_options->loopback	0
TOP.69e9b094.000d761e	user_options->machine_readable	0
TOP.69e9b094.000d761e	user_options->markov_classic	0
TOP.69e9b094.000d761e	user_options->markov	1
TOP.69e9b094.000d761e	user_options->markov_inverse	0
TOP.69e9b094.000d761e	user_options->markov_threshold	256
TOP.69e9b094.000d761e	user_options->metal_compiler_runtime	120
TOP.69e9b094.000d761e	user_options->multiply_accel	1
TOP.69e9b094.000d761e	user_options->backend_info	0
TOP.69e9b094.000d761e	user_options->backend_vector_width	0
TOP.69e9b094.000d761e	user_options->optimized_kernel	0
TOP.69e9b094.000d761e	user_options->outfile_autohex	1
TOP.69e9b094.000d761e	user_options->outfile_check_timer	5
TOP.69e9b094.000d761e	user_options->outfile_format	3
TOP.69e9b094.000d761e	user_options->outfile_json	0
TOP.69e9b094.000d761e	user_options->wordlist_autohex	1
TOP.69e9b094.000d761e	user_options->potfile	1
TOP.69e9b094.000d761e	user_options->progress_only	0
TOP.69e9b094.000d761e	user_options->quiet	0
TOP.69e9b094.000d761e	user_options->remove	0
TOP.69e9b094.000d761e	user_options->remove_timer	60
TOP.69e9b094.000d761e	user_options->restore	0
TOP.69e9b094.000d761e	user_options->restore_enable	1
TOP.69e9b094.000d761e	user_options->restore_timer	1
TOP.69e9b094.000d761e	user_options->rp_files_cnt	0
TOP.69e9b094.000d761e	user_options->rp_gen	0
TOP.69e9b094.000d761e	user_options->rp_gen_func_max	4
TOP.69e9b094.000d761e	user_options->rp_gen_func_min	1
TOP.69e9b094.000d761e	user_options->rp_gen_seed	0
TOP.69e9b094.000d761e	user_options->runtime	0
TOP.69e9b094.000d761e	user_options->scrypt_tmto	0
TOP.69e9b094.000d761e	user_options->segment_size	33554432
TOP.69e9b094.000d761e	user_options->self_test	1
TOP.69e9b094.000d761e	user_options->slow_candidates	0
TOP.69e9b094.000d761e	user_options->show	0
TOP.69e9b094.000d761e	user_options->speed_only	0
TOP.69e9b094.000d761e	user_options->spin_damp	0
TOP.69e9b094.000d761e	user_options->status	1
TOP.69e9b094.000d761e	user_options->status_json	0
TOP.69e9b094.000d761e	user_options->status_timer	2
TOP.69e9b094.000d761e	user_options->stdout_flag	0
TOP.69e9b094.000d761e	user_options->usage	0
TOP.69e9b094.000d761e	user_options->username	0
TOP.69e9b094.000d761e	user_options->veracrypt_pim_start	485
TOP.69e9b094.000d761e	user_options->veracrypt_pim_stop	485
TOP.69e9b094.000d761e	user_options->version	0
TOP.69e9b094.000d761e	user_options->workload_profile	2
TOP.69e9b094.000d761e	user_options->brain_client	0
TOP.69e9b094.000d761e	user_options->brain_client_features	2
TOP.69e9b094.000d761e	user_options->brain_server	0
TOP.69e9b094.000d761e	user_options->brain_server_timer	300
TOP.69e9b094.000d761e	user_options->brain_port	6863
TOP.69e9b094.000d761e	user_options->brain_session	0
TOP.69e9b094.000d761e	proc_start	1776922772
TOP.69e9b094.000d761e	proc_stop	1776922773
TOP.69e9b094.000d761e	STOP
